dataset,task,n_samples,n_features,grouped,status,model,bal_acc,auc,brier,mcc,repeat,fold,mae,r2,spearman
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.6,-0.1889822365046136,1,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.7333333333333334,0.7333333333333333,0.2727272727272727,0.4666666666666667,1,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6636363636363636,0.6636363636363637,0.3333333333333333,0.3302891295379082,1,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.7181818181818183,0.7181818181818183,0.2857142857142857,0.4403855060505442,1,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.2041241452319315,1,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.1889822365046136,2,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.5454545454545454,-0.1,2,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.759090909090909,0.759090909090909,0.238095238095238,0.5229577884350213,2,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6727272727272727,0.6727272727272727,0.3333333333333333,0.3552798562032137,2,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.65,0.65,0.35,0.3144854510165755,2,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.2,0.2,0.7333333333333333,-0.5773502691896257,3,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6333333333333333,0.6333333333333333,0.3636363636363636,0.2666666666666666,3,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3318181818181818,0.3318181818181818,0.6666666666666666,-0.3363636363636363,3,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6681818181818182,0.6681818181818182,0.3333333333333333,0.3363636363636363,3,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.55,-0.1005037815259212,3,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.1889822365046136,4,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4818181818181818,0.4818181818181818,0.5238095238095238,-0.0373978796003382,4,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5681818181818181,0.5681818181818181,0.4285714285714285,0.137620470640795,4,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.45,0.1005037815259212,4,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.7166666666666667,0.7166666666666668,0.2727272727272727,0.4485426135725303,4,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.6,-0.1889822365046136,5,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.5454545454545454,-0.1,5,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4727272727272727,0.4727272727272726,0.5238095238095238,-0.055048188256318,5,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3363636363636363,0.3363636363636363,0.6666666666666666,-0.3302891295379082,5,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.55,-0.1005037815259212,5,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.5333333333333333,-0.0944911182523068,6,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5272727272727272,0.5272727272727273,0.4761904761904761,0.055048188256318,6,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4727272727272727,0.4727272727272726,0.5238095238095238,-0.055048188256318,6,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.5,0.0,6,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.5499999999999999,0.4545454545454545,0.1,6,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.4,0.1,7,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5333333333333333,0.5333333333333333,0.4545454545454545,0.0690065559342354,7,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5136363636363637,0.5136363636363637,0.4761904761904761,0.0301511344577763,7,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3454545454545454,0.3454545454545454,0.6666666666666666,-0.3624412178045377,7,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.5,0.0,7,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4499999999999999,0.45,0.6,-0.1,8,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5666666666666667,0.5666666666666667,0.4545454545454545,0.1490711984999859,8,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3363636363636363,0.3363636363636363,0.6666666666666666,-0.3302891295379082,8,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4272727272727272,0.4272727272727272,0.5714285714285714,-0.1454545454545454,8,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.65,-0.3015113445777636,8,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.4,0.1,9,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3863636363636363,0.3863636363636363,0.6190476190476191,-0.2337367475021143,9,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4227272727272727,0.4227272727272727,0.5714285714285714,-0.1589409883014377,9,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.5,0.0,9,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4333333333333333,0.4333333333333332,0.5454545454545454,-0.1490711984999859,9,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.5333333333333333,-0.2,10,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4863636363636363,0.4863636363636363,0.5238095238095238,-0.0301511344577763,10,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5136363636363637,0.5136363636363637,0.4761904761904761,0.0301511344577763,10,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.65,-0.3464101615137754,10,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.6363636363636364,-0.3105295017040594,10,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4499999999999999,0.45,0.6,-0.1,11,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3666666666666667,0.3666666666666666,0.6363636363636364,-0.2666666666666666,11,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4318181818181818,0.4318181818181819,0.5714285714285714,-0.137620470640795,11,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4727272727272727,0.4727272727272726,0.5238095238095238,-0.055048188256318,11,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.5,0.0,11,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.5333333333333333,-0.2,12,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4818181818181818,0.4818181818181818,0.5238095238095238,-0.0373978796003382,12,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5181818181818182,0.5181818181818182,0.4761904761904761,0.0373978796003382,12,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.45,0.1048284836721918,12,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.2666666666666666,0.2666666666666666,0.7272727272727273,-0.4666666666666667,12,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.1889822365046136,13,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5272727272727272,0.5272727272727273,0.4761904761904761,0.055048188256318,13,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3772727272727272,0.3772727272727273,0.6190476190476191,-0.2477168471534311,13,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.45,0.1005037815259212,13,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.6363636363636364,-0.3105295017040594,13,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.75,0.75,0.2666666666666666,0.472455591261534,14,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5272727272727272,0.5272727272727273,0.4761904761904761,0.055048188256318,14,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3772727272727272,0.3772727272727273,0.6190476190476191,-0.2477168471534311,14,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6499999999999999,0.65,0.35,0.3015113445777636,14,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6166666666666667,0.6166666666666667,0.3636363636363636,0.2608745973749754,14,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.4666666666666667,0.0,15,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5333333333333333,0.5333333333333333,0.4545454545454545,0.0690065559342354,15,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5227272727272727,0.5227272727272727,0.4761904761904761,0.0454545454545454,15,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4318181818181818,0.4318181818181817,0.5714285714285714,-0.137620470640795,15,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.65,-0.3015113445777636,15,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.1889822365046136,16,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.1666666666666666,0.1666666666666666,0.8181818181818182,-0.6900655593423543,16,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6136363636363636,0.6136363636363636,0.3809523809523809,0.2337367475021143,16,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3409090909090909,0.3409090909090909,0.6666666666666666,-0.337099931231621,16,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.45,0.1048284836721918,16,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.4666666666666667,0.0,17,1,,,
